Method,BestDelay
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
CrossCorr2,8.0
